seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,high_risk_avg_response_time,abnormal_task_ids,abnormal_priority_rate,abnormal_avg_response_time,high_priority_top5_rate,priority_weighted_completion_time,risk_weighted_completion_time,replanning_count,task_sequence
0,Full-Proposed-Balanced,20,248.0,513.3333333333334,92.77777777777779,286.45833333333337,"P11,P15,P16,P10",25.0,202.5,60.0,226.57915918668098,259.8602789351818,1,P3->P6->P9->P17->P4->P15->P19->P16->P20->P13->P2->P7->P14->P11->P8->P5->P18->P12->P10->P1
0,w/o Priority,20,266.0,543.3333333333333,292.22222222222223,188.95833333333334,"P9,P14,P15,P8",75.0,67.5,0.0,261.36106326237285,224.16596400171062,1,P3->P18->P11->P8->P14->P7->P9->P17->P15->P19->P1->P4->P20->P2->P13->P10->P12->P6->P5->P16
0,w/o Risk,20,253.0,521.6666666666667,117.77777777777779,347.70833333333337,"P10,P15,P16,P9",50.0,113.75,40.0,221.68084008161605,296.8569158345815,1,P3->P12->P6->P9->P17->P4->P10->P15->P19->P16->P1->P7->P8->P5->P11->P18->P14->P13->P2->P20
0,w/o Abnormal,20,266.0,543.3333333333333,92.77777777777779,294.79166666666663,"P11,P15,P16,P10",0.0,237.5,60.0,238.78823309827155,279.4348125247709,1,P3->P6->P9->P17->P4->P7->P14->P5->P11->P8->P18->P15->P19->P16->P1->P10->P20->P13->P2->P12
0,w/o Complexity,20,244.0,506.66666666666674,98.33333333333333,206.66666666666669,"P10,P15,P16,P9",50.0,177.08333333333334,40.0,220.00640125603636,240.78022514372765,1,P3->P6->P11->P9->P17->P4->P15->P1->P10->P20->P13->P7->P14->P8->P5->P18->P12->P19->P16->P2
0,w/o Energy,20,266.0,543.3333333333334,92.77777777777779,277.29166666666674,"P11,P15,P16,P10",25.0,193.33333333333334,60.0,225.7616928484118,267.41057241459976,1,P3->P6->P9->P17->P4->P15->P19->P16->P20->P13->P7->P14->P11->P8->P5->P18->P12->P10->P1->P2
1,Full-Proposed-Balanced,20,308.0,613.3333333333333,178.33333333333331,236.1904761904762,"P12,P16,P14,P15",50.0,184.58333333333331,40.0,263.2348717987113,235.8439915000615,1,P1->P6->P20->P17->P12->P14->P9->P4->P7->P11->P16->P13->P15->P2->P5->P19->P18->P8->P10->P3
1,w/o Priority,20,266.0,543.3333333333333,268.75,173.80952380952382,"P12,P17,P14,P15",75.0,115.41666666666666,40.0,284.01561498955687,217.25472796263963,1,P16->P1->P6->P17->P12->P14->P9->P8->P7->P11->P15->P5->P19->P18->P4->P10->P20->P3->P13->P2
1,w/o Risk,20,254.0,523.3333333333334,112.08333333333334,304.5238095238096,"P12,P17,P15,P16",75.0,129.58333333333334,60.0,262.70837235383004,283.6595485427825,1,P1->P13->P2->P16->P17->P4->P12->P10->P7->P11->P15->P5->P19->P18->P14->P9->P8->P6->P20->P3
1,w/o Abnormal,20,250.0,516.6666666666667,172.5,248.8095238095238,"P12,P16,P14,P15",0.0,291.66666666666663,60.0,240.42963959419117,216.75725713836007,1,P1->P6->P20->P17->P4->P7->P11->P14->P9->P8->P18->P19->P12->P10->P5->P2->P13->P16->P15->P3
1,w/o Complexity,20,266.0,543.3333333333333,142.08333333333331,196.19047619047618,"P12,P16,P14,P15",25.0,159.16666666666663,60.0,225.1903198485818,198.52986974406258,1,P1->P6->P20->P17->P4->P12->P7->P11->P14->P16->P15->P13->P2->P5->P19->P18->P9->P8->P10->P3
1,w/o Energy,20,308.0,613.3333333333333,178.33333333333331,236.1904761904762,"P12,P16,P14,P15",50.0,184.58333333333331,40.0,263.2348717987113,235.8439915000615,1,P1->P6->P20->P17->P12->P14->P9->P4->P7->P11->P16->P13->P15->P2->P5->P19->P18->P8->P10->P3
2,Full-Proposed-Balanced,20,228.0,480.0,186.33333333333331,272.99999999999994,"P12,P2,P1,P16",75.0,113.33333333333333,60.0,190.51087701119204,226.47916341808678,1,P5->P7->P3->P1->P2->P10->P12->P15->P14->P18->P4->P17->P6->P20->P11->P13->P16->P9->P19->P8
2,w/o Priority,20,251.0,518.3333333333335,299.83333333333337,208.3333333333334,"P11,P2,P1,P15",75.0,87.91666666666669,40.0,280.0177549978461,240.8811968997196,1,P5->P16->P3->P1->P15->P2->P10->P12->P8->P11->P7->P20->P19->P6->P17->P4->P9->P18->P14->P13
2,w/o Risk,20,264.0,540.0,244.0,443.3333333333333,"P11,P2,P1,P16",75.0,125.83333333333334,80.0,247.29955402296844,318.77350624428055,1,P7->P3->P13->P11->P2->P1->P10->P14->P18->P4->P17->P6->P5->P16->P9->P20->P19->P15->P8->P12
2,w/o Abnormal,20,250.0,516.6666666666667,194.83333333333337,262.66666666666674,"P12,P2,P1,P16",25.0,233.33333333333337,60.0,209.88199062428066,238.67133999171023,1,P5->P7->P3->P1->P15->P14->P10->P2->P11->P20->P4->P17->P6->P18->P9->P13->P16->P19->P8->P12
2,w/o Complexity,20,189.0,415.00000000000006,161.83333333333334,133.00000000000003,"P11,P2,P1,P15",75.0,80.00000000000001,80.0,187.35130361005776,192.0514063737988,1,P20->P5->P7->P11->P1->P15->P8->P14->P2->P10->P12->P4->P17->P6->P18->P19->P9->P13->P16->P3
2,w/o Energy,20,228.0,480.0,186.33333333333331,272.99999999999994,"P12,P2,P1,P16",75.0,113.33333333333333,60.0,190.51087701119204,226.47916341808678,1,P5->P7->P3->P1->P2->P10->P12->P15->P14->P18->P4->P17->P6->P20->P11->P13->P16->P9->P19->P8
3,Full-Proposed-Balanced,19,189.0,410.0,125.0,206.66666666666666,"P6,P15,P5,P11",25.0,193.75,40.0,159.36214425006716,183.62472636840994,1,P10->P9->P16->P14->P8->P1->P15->P2->P5->P20->P12->P19->P18->P17->P13->P3->P7->P6->P4
3,w/o Priority,19,222.0,464.99999999999994,215.55555555555554,117.22222222222223,"P6,P16,P5,P11",25.0,221.66666666666663,20.0,206.35107545220518,157.4241107944502,1,P10->P7->P14->P16->P8->P9->P3->P1->P12->P19->P18->P5->P20->P15->P2->P17->P4->P13->P6
3,w/o Risk,19,178.0,391.66666666666663,168.3333333333333,221.1111111111111,"P8,P16,P7,P12",50.0,106.66666666666666,40.0,171.14322299895224,192.0819492779563,1,P10->P6->P1->P8->P16->P9->P3->P14->P12->P19->P15->P2->P5->P20->P18->P13->P17->P4->P7
3,w/o Abnormal,19,194.0,418.3333333333333,150.0,184.44444444444443,"P6,P15,P5,P11",25.0,205.41666666666666,40.0,175.20246310764043,189.28856004662615,1,P10->P9->P16->P14->P8->P1->P15->P2->P12->P19->P18->P5->P20->P3->P7->P6->P4->P17->P13
3,w/o Complexity,19,202.0,431.6666666666667,162.77777777777777,122.77777777777777,"P7,P15,P6,P11",75.0,122.08333333333334,80.0,193.34296803871564,183.46676816785336,1,P9->P1->P16->P15->P7->P6->P14->P8->P12->P3->P19->P18->P17->P13->P4->P10->P5->P20->P2
3,w/o Energy,19,189.0,410.0,125.0,206.66666666666666,"P6,P15,P5,P11",25.0,193.75,40.0,159.36214425006716,183.62472636840994,1,P10->P9->P16->P14->P8->P1->P15->P2->P5->P20->P12->P19->P18->P17->P13->P3->P7->P6->P4
4,Full-Proposed-Balanced,20,299.0,598.3333333333334,196.66666666666669,197.8571428571429,"P13,P10,P6,P12",50.0,205.83333333333334,0.0,295.4467512980284,229.0377333878373,1,P20->P11->P9->P12->P6->P3->P5->P16->P8->P14->P19->P17->P10->P1->P7->P13->P15->P18->P2->P4
4,w/o Priority,20,284.0,573.3333333333334,280.0,129.04761904761907,"P14,P12,P6,P13",50.0,151.25,0.0,338.3645841568598,210.874214461587,1,P10->P11->P9->P6->P5->P12->P8->P16->P14->P3->P19->P17->P2->P13->P15->P20->P7->P1->P4->P18
4,w/o Risk,20,243.0,505.00000000000006,233.33333333333337,234.04761904761907,"P12,P9,P6,P10",75.0,167.08333333333337,0.0,255.78251167984592,231.27309902891548,1,P20->P11->P17->P9->P12->P7->P6->P3->P5->P16->P8->P14->P19->P18->P15->P13->P2->P10->P1->P4
4,w/o Abnormal,20,253.0,521.6666666666667,261.6666666666667,251.19047619047618,"P13,P10,P6,P12",25.0,260.8333333333333,0.0,244.4333538962034,247.2118092781915,1,P20->P11->P9->P17->P1->P12->P7->P5->P3->P6->P16->P8->P14->P19->P18->P15->P13->P2->P10->P4
4,w/o Complexity,20,282.0,570.0,141.66666666666666,190.95238095238096,"P13,P10,P6,P12",25.0,124.16666666666666,0.0,230.67745032354054,216.5330906621644,1,P20->P9->P11->P17->P6->P5->P3->P12->P10->P13->P15->P18->P19->P16->P8->P4->P1->P7->P2->P14
4,w/o Energy,20,299.0,598.3333333333334,196.66666666666669,197.8571428571429,"P13,P10,P6,P12",50.0,205.83333333333334,0.0,295.4467512980284,229.0377333878373,1,P20->P11->P9->P12->P6->P3->P5->P16->P8->P14->P19->P17->P10->P1->P7->P13->P15->P18->P2->P4
5,Full-Proposed-Balanced,20,289.0,581.6666666666667,135.00000000000003,146.90476190476193,"P8,P20,P1,P4",75.0,162.08333333333334,80.0,232.0898492011354,227.8609554272608,1,P14->P6->P10->P1->P8->P4->P7->P19->P9->P5->P18->P2->P15->P12->P16->P13->P17->P11->P20->P3
5,w/o Priority,20,279.0,564.9999999999999,164.44444444444443,198.33333333333334,"P8,P20,P1,P5",75.0,129.58333333333334,40.0,252.23349461639614,235.5008785249619,1,P14->P2->P15->P5->P9->P1->P8->P19->P10->P6->P18->P4->P7->P20->P11->P17->P16->P13->P12->P3
5,w/o Risk,20,281.0,568.3333333333333,148.05555555555557,207.61904761904765,"P8,P20,P1,P5",75.0,124.16666666666669,60.0,246.18087809858153,238.17571275546737,1,P14->P2->P15->P8->P1->P9->P5->P6->P18->P19->P10->P4->P7->P20->P11->P17->P16->P13->P12->P3
5,w/o Abnormal,20,295.0,591.6666666666666,150.55555555555557,137.14285714285714,"P8,P20,P1,P4",0.0,235.0,60.0,233.55827993108772,213.7705726977966,1,P14->P6->P10->P9->P5->P19->P18->P1->P8->P7->P4->P17->P11->P16->P15->P2->P12->P3->P20->P13
5,w/o Complexity,20,271.0,551.6666666666666,108.33333333333333,161.66666666666666,"P8,P20,P1,P4",75.0,141.25,80.0,212.09849756905894,219.3298159580409,1,P14->P6->P9->P4->P1->P8->P7->P19->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,w/o Energy,20,289.0,581.6666666666667,135.00000000000003,146.90476190476193,"P8,P20,P1,P4",75.0,162.08333333333334,80.0,232.0898492011354,227.8609554272608,1,P14->P6->P10->P1->P8->P4->P7->P19->P9->P5->P18->P2->P15->P12->P16->P13->P17->P11->P20->P3
6,Full-Proposed-Balanced,20,233.0,488.33333333333337,177.66666666666669,149.28571428571428,"P7,P6,P2,P14",25.0,153.75,40.0,184.34657472723458,196.43942759918932,1,P10->P17->P5->P2->P20->P13->P18->P7->P12->P16->P14->P4->P9->P15->P6->P3->P8->P11->P1->P19
6,w/o Priority,20,200.0,433.3333333333334,234.00000000000006,143.80952380952385,"P7,P6,P3,P14",0.0,236.66666666666669,40.0,218.79981304478216,178.31763518099484,1,P10->P17->P2->P5->P15->P20->P13->P19->P18->P7->P1->P6->P3->P8->P11->P4->P12->P14->P16->P9
6,w/o Risk,20,229.0,481.6666666666667,144.0,208.33333333333334,"P6,P5,P2,P14",75.0,96.66666666666669,40.0,169.19245293609814,223.6513949867918,1,P10->P17->P13->P5->P2->P3->P6->P8->P18->P12->P16->P14->P4->P9->P20->P19->P15->P11->P1->P7
