seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,lambda_before_abnormal,lambda_after_abnormal,lambda_change,lambda_mean,lambda_min,lambda_max,lambda_std,algorithm_runtime_ms,task_sequence
0,A-RH-PADS-Full,20,245.0,508.33333333333337,137.7777777777778,222.25984226708272,40.0,50.0,70.0,1,0.6054342372038419,0.7902752630674345,0.18484102586359252,0.6202796847435659,0.48661539036110296,0.7902752630674345,0.10601067156738377,77.2989250253886,P15->P4->P17->P9->P20->P13->P7->P14->P8->P11->P6->P3->P12->P10->P1->P19->P16->P2->P5->P18
0,A-RH-PADS-FixedLambda,20,245.0,508.33333333333337,137.7777777777778,222.25984226708272,40.0,50.0,70.0,1,0.55,0.55,0.0,0.55,0.55,0.55,0.0,77.02440599678084,P15->P4->P17->P9->P20->P13->P7->P14->P8->P11->P6->P3->P12->P10->P1->P19->P16->P2->P5->P18
0,A-RH-PADS-NoUrgencyPressure,20,245.0,508.33333333333337,137.7777777777778,222.25984226708272,40.0,50.0,70.0,1,0.427260496301703,0.6454857563217162,0.21822526002001325,0.49559499812616686,0.41674765910637357,0.6570040417792679,0.10059476767168751,76.14719500998035,P15->P4->P17->P9->P20->P13->P7->P14->P8->P11->P6->P3->P12->P10->P1->P19->P16->P2->P5->P18
0,A-RH-PADS-NoAbnormalPressure,20,245.0,508.33333333333337,137.7777777777778,222.25984226708272,40.0,50.0,70.0,1,0.6054342372038419,0.6512228243353142,0.04578858713147227,0.5711586613038249,0.48661539036110296,0.6512228243353142,0.04308744310829371,76.66616496862844,P15->P4->P17->P9->P20->P13->P7->P14->P8->P11->P6->P3->P12->P10->P1->P19->P16->P2->P5->P18
0,A-RH-PADS-NoPathPressure,20,245.0,508.33333333333337,137.7777777777778,222.25984226708272,40.0,50.0,70.0,1,0.6936561158559509,0.8169689127787991,0.12331279692284824,0.6939374884490643,0.5755838367540438,0.8169689127787991,0.08033697843530152,76.05791400419548,P15->P4->P17->P9->P20->P13->P7->P14->P8->P11->P6->P3->P12->P10->P1->P19->P16->P2->P5->P18
0,A-RH-PADS-ResponseOnly,20,282.0,570.0,103.8888888888889,251.25494388272028,40.0,50.0,106.25,1,0.85,0.85,0.0,0.85,0.85,0.85,0.0,73.8689069985412,P4->P9->P17->P7->P14->P8->P6->P15->P1->P10->P20->P13->P2->P19->P12->P3->P18->P11->P5->P16
0,A-RH-PADS-CostOnly,20,204.0,439.99999999999994,180.0,188.74141463586147,20.0,25.0,180.41666666666663,1,0.25,0.25,0.0,0.25,0.25,0.25,0.0,78.79404502455145,P3->P15->P10->P4->P17->P9->P20->P2->P13->P7->P14->P8->P11->P5->P18->P12->P6->P1->P19->P16
0,A-RH-PADS-NoFinishTimeResponse,20,304.0,606.6666666666666,126.66666666666667,289.82722554834754,40.0,75.0,139.16666666666663,1,0.5965931728191536,0.7811769599946335,0.18458378717547996,0.6404888266535501,0.5260098433765725,0.7811769599946335,0.10224710713695016,75.32348803943023,P4->P9->P17->P15->P7->P14->P8->P6->P13->P20->P10->P19->P16->P1->P3->P12->P18->P11->P5->P2
1,A-RH-PADS-Full,20,245.0,508.3333333333333,151.66666666666669,207.59645896829326,60.0,50.0,131.66666666666666,1,0.6285605660952109,0.7914847177960888,0.16292415170087782,0.6751239053159565,0.47738899606425866,0.7914847177960888,0.11631828328843062,74.62333899457008,P16->P1->P6->P17->P4->P12->P7->P11->P5->P9->P14->P19->P18->P15->P2->P13->P3->P20->P10->P8
1,A-RH-PADS-FixedLambda,20,209.0,448.33333333333326,155.83333333333331,190.46987041880286,40.0,50.0,139.99999999999997,1,0.55,0.55,0.0,0.55,0.55,0.55,0.0,74.27517202449962,P16->P1->P6->P20->P17->P4->P12->P7->P11->P5->P19->P18->P14->P9->P8->P15->P2->P13->P3->P10
