seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,lambda_mean,lambda_min,lambda_max,lambda_std,task_sequence
0,AStarOnly,20,196.0,426.66666666666663,278.88888888888886,208.53083125537935,0.0,37.680969981011,0.0,0.0,0.0,0.0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,TSP-2opt,20,176.0,393.33333333333337,245.55555555555557,190.14662043063052,0.0,61.715507006738335,0.0,0.0,0.0,0.0,P3->P12->P15->P1->P19->P16->P10->P4->P9->P20->P2->P13->P17->P7->P14->P8->P11->P5->P18->P6
0,Greedy-PADS,20,266.0,543.3333333333333,92.77777777777779,238.78823309827155,60.0,35.89388797990978,0.0,0.0,0.0,0.0,P3->P6->P9->P17->P4->P7->P14->P5->P11->P8->P18->P15->P19->P16->P1->P10->P20->P13->P2->P12
0,Priority-Greedy,20,323.0,638.3333333333333,122.77777777777779,255.36185478202,40.0,34.50489498209208,0.0,0.0,0.0,0.0,P4->P9->P7->P17->P20->P13->P6->P15->P1->P3->P12->P5->P14->P8->P11->P19->P16->P2->P10->P18
0,RH-PADS,20,222.0,470.0,139.44444444444446,215.91721508557615,40.0,701.601920009125,0.0,0.0,0.0,0.0,P15->P4->P17->P9->P20->P2->P13->P7->P14->P8->P11->P6->P3->P12->P10->P5->P18->P1->P19->P16
0,RH-PADS-L,20,237.0,495.0000000000001,156.6666666666667,215.56360143027942,40.0,312.44519498432055,0.0,0.0,0.0,0.0,P4->P9->P17->P7->P13->P20->P2->P19->P16->P1->P15->P12->P3->P6->P11->P5->P18->P8->P14->P10
0,A-RH-PADS,20,225.0,475.00000000000006,139.44444444444446,217.9700730113976,40.0,77.11362896952778,0.5720547421743485,0.5267852913502942,0.6146994622264275,0.02862543648202937,P15->P4->P17->P9->P20->P2->P13->P7->P14->P8->P11->P6->P3->P12->P10->P19->P16->P1->P18->P5
0,A-RH-PADS-L,20,257.0,528.3333333333334,132.7777777777778,231.0982663266056,40.0,63.3655019919388,0.5765381645417674,0.522983960933197,0.6146994622264275,0.02481986307230563,P15->P4->P9->P17->P20->P2->P13->P7->P8->P11->P6->P18->P12->P1->P10->P19->P16->P3->P5->P14
1,AStarOnly,20,152.0,353.33333333333337,130.0,171.28220643360677,40.0,35.33835295820609,0.0,0.0,0.0,0.0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,TSP-2opt,20,148.0,346.6666666666667,128.33333333333334,169.7953908227992,40.0,39.425082970410585,0.0,0.0,0.0,0.0,P15->P16->P2->P13->P1->P6->P3->P20->P17->P10->P4->P12->P7->P11->P5->P8->P9->P14->P19->P18
