experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
main,A-RH-PADS vs RH-PADS,total_path_length,A-RH-PADS,RH-PADS,30,207.06666666666666,220.26666666666668,-13.2,18.605523836790496,-3.8859092721548314,0.0005448636271967387,significant
main,A-RH-PADS vs RH-PADS,total_inspection_time,A-RH-PADS,RH-PADS,30,444.77777777777766,466.7777777777777,-22.00000000000002,31.009206394650842,-3.885909272154834,0.0005448636271967346,significant
main,A-RH-PADS vs RH-PADS,high_priority_avg_response_time,A-RH-PADS,RH-PADS,30,142.99701178451178,130.12396184062854,12.873049943883276,23.56593776771668,2.9919708299554957,0.005610421003458108,significant
main,A-RH-PADS vs RH-PADS,priority_weighted_completion_time,A-RH-PADS,RH-PADS,30,178.71586320931183,183.0951220308595,-4.379258821547729,7.267748752805842,-3.3003601573171517,0.0025645291408888144,significant
main,A-RH-PADS vs RH-PADS,abnormal_avg_response_time,A-RH-PADS,RH-PADS,0,,,,,,,skipped
main,A-RH-PADS vs RH-PADS,abnormal_priority_rate,A-RH-PADS,RH-PADS,0,,,,,,,skipped
main,A-RH-PADS vs RH-PADS,vehicle_trajectory_length,A-RH-PADS,RH-PADS,0,,,,,,,skipped
main,A-RH-PADS vs RH-PADS,vehicle_execution_time,A-RH-PADS,RH-PADS,0,,,,,,,skipped
main,A-RH-PADS-L vs RH-PADS-L,total_path_length,A-RH-PADS-L,RH-PADS-L,30,212.43333333333334,219.43333333333334,-7.0,21.785791003660446,-1.7598892332584872,0.0889727421880675,not_significant
main,A-RH-PADS-L vs RH-PADS-L,total_inspection_time,A-RH-PADS-L,RH-PADS-L,30,453.72222222222234,465.3888888888889,-11.666666666666682,36.309651672767416,-1.759889233258489,0.08897274218806715,not_significant
main,A-RH-PADS-L vs RH-PADS-L,high_priority_avg_response_time,A-RH-PADS-L,RH-PADS-L,30,146.64041806958468,134.24159652076318,12.398821548821548,53.673805709987974,1.2652567037009952,0.21585159055788328,not_significant
main,A-RH-PADS-L vs RH-PADS-L,priority_weighted_completion_time,A-RH-PADS-L,RH-PADS-L,30,182.59807233895876,182.57065751901,0.027414819948700143,11.462361974181905,0.013100018416507384,0.989637705261838,not_significant
main,A-RH-PADS-L vs RH-PADS-L,abnormal_avg_response_time,A-RH-PADS-L,RH-PADS-L,0,,,,,,,skipped
main,A-RH-PADS-L vs RH-PADS-L,abnormal_priority_rate,A-RH-PADS-L,RH-PADS-L,0,,,,,,,skipped
main,A-RH-PADS-L vs RH-PADS-L,vehicle_trajectory_length,A-RH-PADS-L,RH-PADS-L,0,,,,,,,skipped
main,A-RH-PADS-L vs RH-PADS-L,vehicle_execution_time,A-RH-PADS-L,RH-PADS-L,0,,,,,,,skipped
main,A-RH-PADS vs AStarOnly,total_path_length,A-RH-PADS,AStarOnly,30,207.06666666666666,169.13333333333333,37.93333333333333,20.118499521298943,10.327282273726865,3.1626221279867456e-11,significant
main,A-RH-PADS vs AStarOnly,total_inspection_time,A-RH-PADS,AStarOnly,30,444.77777777777766,381.5555555555555,63.22222222222221,33.530832535498234,10.327282273726865,3.1626221279867456e-11,significant
