seed,method,completed_task_num,total_path_length,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,lambda_mean,lambda_min,lambda_max,lambda_std,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
0,A-RH-PADS-L,20,257.0,257.0,229.25914138190896,455.3,555.3000000000001,208.22000000000003,236.04876029397687,173.9488845289688,100.0,0.8920589158829142,0.5765381645417674,0.522983960933197,0.6146994622264275,0.02481986307230563,0,0,0,0,P15->P4->P9->P17->P20->P2->P13->P7->P8->P11->P6->P18->P12->P1->P10->P19->P16->P3->P5->P14
0,RH-PADS-L,20,221.0,221.0,191.97654939681522,392.40000000000003,492.3999999999999,132.35999999999999,184.37641889947358,171.65538609753696,100.0,0.8686721692163585,0.0,0.0,0.0,0.0,0,0,0,0,P3->P12->P4->P9->P17->P7->P13->P20->P2->P19->P16->P15->P1->P5->P6->P11->P8->P14->P18->P10
0,AStarOnly,20,190.0,190.0,171.59795509632042,340.80000000000007,440.80000000000007,200.14000000000004,214.7376961143358,126.87081505490315,100.0,0.9031471320858969,0.0,0.0,0.0,0.0,0,0,0,0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P4->P10->P15->P1->P19->P16->P5->P6
0,TSP-2opt,20,196.0,196.0,174.96220051165824,344.20000000000005,444.20000000000005,202.92000000000002,216.4086020844885,122.88909443628967,100.0,0.892664288324787,0.0,0.0,0.0,0.0,0,0,0,0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,Greedy-PADS,20,207.0,207.0,179.72794680024452,368.6000000000001,468.6000000000001,157.44,183.2525537054,159.50593683893877,100.0,0.8682509507258189,0.0,0.0,0.0,0.0,0,0,0,0,P3->P12->P15->P1->P4->P9->P17->P7->P13->P20->P2->P19->P16->P10->P5->P11->P6->P18->P8->P14
0,Priority-Greedy,20,323.0,323.0,291.36671126005376,580.4000000000001,680.4,167.54000000000002,268.95923590350964,223.33053081887425,100.0,0.9020641215481541,0.0,0.0,0.0,0.0,0,0,0,0,P4->P9->P7->P17->P20->P13->P6->P15->P1->P3->P12->P5->P14->P8->P11->P19->P16->P2->P10->P18
1,A-RH-PADS-L,20,209.0,209.0,193.94551496538915,383.00000000000006,483.0,165.25,202.6750492813689,134.0148892578846,100.0,0.9279689711262639,0.5728763075940336,0.46718907262953424,0.6285605660952109,0.04145030920776468,0,0,0,0,P16->P1->P6->P20->P17->P4->P12->P7->P11->P5->P19->P18->P14->P9->P8->P15->P2->P13->P3->P10
1,RH-PADS-L,20,237.0,237.0,217.49615704078468,420.00000000000006,520.0,99.375,201.06708284005518,129.53964832607957,100.0,0.9177053039695556,0.0,0.0,0.0,0.0,0,0,0,0,P16->P1->P13->P2->P7->P4->P17->P20->P6->P3->P15->P11->P5->P19->P14->P18->P9->P12->P10->P8
1,AStarOnly,20,150.0,150.0,133.73820243644568,269.2,369.19999999999993,139.575,181.61116229242523,105.30581167600515,100.0,0.8915880162429711,0.0,0.0,0.0,0.0,0,0,0,0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P9->P14->P19->P18
1,TSP-2opt,20,152.0,152.0,135.32537105555372,274.99999999999994,374.9999999999999,139.575,182.17278113567832,109.87227643532106,100.0,0.8902984937865376,0.0,0.0,0.0,0.0,0,0,0,0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
