seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_task_ids,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,algorithm_runtime_ms,task_sequence
0,AStarOnly,20,196.0,426.66666666666663,278.88888888888886,208.53083125537935,0.0,"P9,P14,P15,P8",50.0,107.50000000000001,0,38.12177001964301,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,Proposed-Balanced,20,248.0,513.3333333333334,92.77777777777779,226.57915918668098,60.0,"P11,P15,P16,P10",25.0,202.5,1,35.138537001330405,P3->P6->P9->P17->P4->P15->P19->P16->P20->P13->P2->P7->P14->P11->P8->P5->P18->P12->P10->P1
0,RH-v2-Full,20,241.0,501.6666666666667,137.7777777777778,221.6671372432411,40.0,"P9,P13,P14,P8",50.0,70.0,1,718.2012620032765,P15->P4->P17->P9->P20->P13->P7->P14->P8->P11->P6->P3->P12->P1->P19->P16->P2->P10->P5->P18
0,RH-v2-Light,20,272.0,553.3333333333334,136.11111111111111,271.22630447174976,40.0,"P10,P14,P15,P8",50.0,85.83333333333331,1,364.2343510291539,P4->P9->P17->P10->P15->P1->P7->P14->P8->P11->P6->P20->P13->P2->P5->P18->P12->P3->P19->P16
0,DRF-RH-Full,20,208.0,446.6666666666667,139.44444444444446,211.78372062326974,40.0,"P9,P13,P14,P8",50.0,73.75,1,97.80946100363508,P15->P4->P17->P9->P20->P2->P13->P7->P14->P8->P11->P6->P5->P18->P12->P3->P1->P10->P19->P16
0,DRF-RH-Light,20,240.0,500.00000000000006,157.22222222222226,237.75554782938278,40.0,"P10,P14,P15,P8",50.0,117.50000000000003,1,70.90005400823429,P4->P9->P17->P10->P15->P1->P19->P20->P2->P13->P7->P14->P8->P11->P6->P18->P5->P12->P3->P16
0,Priority-Greedy,20,334.0,656.6666666666665,113.33333333333333,273.117125779692,40.0,"P11,P15,P16,P10",50.0,208.33333333333326,1,34.25823600264266,P4->P9->P7->P17->P15->P6->P11->P5->P20->P13->P1->P19->P16->P10->P12->P3->P8->P14->P18->P2
0,Deadline-Greedy,20,302.0,603.3333333333334,152.7777777777778,259.8522460962712,40.0,"P10,P14,P15,P8",25.0,192.0833333333334,1,34.927045984659344,P4->P9->P17->P7->P15->P1->P20->P13->P14->P8->P6->P5->P10->P12->P3->P11->P18->P19->P16->P2
1,AStarOnly,20,152.0,353.33333333333337,130.0,171.28220643360677,40.0,"P11,P17,P13,P14",25.0,157.08333333333331,0,35.8413839712739,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,Proposed-Balanced,20,308.0,613.3333333333333,178.33333333333331,263.2348717987113,40.0,"P12,P16,P14,P15",50.0,184.58333333333331,1,36.04829200776294,P1->P6->P20->P17->P12->P14->P9->P4->P7->P11->P16->P13->P15->P2->P5->P19->P18->P8->P10->P3
