seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_task_ids,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,algorithm_runtime_ms,task_sequence
0,AStarOnly,20,196.0,426.66666666666663,278.88888888888886,208.53083125537935,0.0,"P9,P14,P15,P8",50.0,107.50000000000001,0,39.435921993572265,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,Proposed-Balanced,20,248.0,513.3333333333334,92.77777777777779,226.57915918668098,60.0,"P11,P15,P16,P10",25.0,202.5,1,35.864535020664334,P3->P6->P9->P17->P4->P15->P19->P16->P20->P13->P2->P7->P14->P11->P8->P5->P18->P12->P10->P1
0,RH-v2-Full,20,241.0,501.6666666666667,137.7777777777778,221.6671372432411,40.0,"P9,P13,P14,P8",50.0,70.0,1,716.5420280070975,P15->P4->P17->P9->P20->P13->P7->P14->P8->P11->P6->P3->P12->P1->P19->P16->P2->P10->P5->P18
0,RH-v2-Light,20,272.0,553.3333333333334,136.11111111111111,271.22630447174976,40.0,"P10,P14,P15,P8",50.0,85.83333333333331,1,360.2363329846412,P4->P9->P17->P10->P15->P1->P7->P14->P8->P11->P6->P20->P13->P2->P5->P18->P12->P3->P19->P16
1,AStarOnly,20,152.0,353.33333333333337,130.0,171.28220643360677,40.0,"P11,P17,P13,P14",25.0,157.08333333333331,0,36.86807304620743,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,Proposed-Balanced,20,308.0,613.3333333333333,178.33333333333331,263.2348717987113,40.0,"P12,P16,P14,P15",50.0,184.58333333333331,1,36.86890902463347,P1->P6->P20->P17->P12->P14->P9->P4->P7->P11->P16->P13->P15->P2->P5->P19->P18->P8->P10->P3
1,RH-v2-Full,20,243.0,505.0,150.83333333333334,206.8027584576442,60.0,"P12,P17,P14,P15",50.0,130.83333333333331,1,720.886860974133,P16->P1->P6->P17->P4->P12->P7->P11->P5->P9->P14->P18->P19->P15->P2->P13->P3->P20->P10->P8
1,RH-v2-Light,20,241.0,501.66666666666663,150.0,204.38687074669667,60.0,"P12,P17,P14,P15",50.0,132.91666666666663,1,336.8690580246039,P16->P1->P6->P17->P4->P12->P7->P11->P5->P19->P18->P14->P9->P15->P2->P13->P3->P20->P10->P8
2,AStarOnly,20,148.0,346.6666666666667,142.83333333333331,149.18086604443027,80.0,"P9,P2,P1,P14",25.0,126.25,0,32.213855010923,P16->P20->P13->P5->P7->P3->P1->P2->P12->P10->P15->P8->P14->P18->P17->P4->P9->P6->P19->P11
2,Proposed-Balanced,20,228.0,480.0,186.33333333333331,190.51087701119204,60.0,"P12,P2,P1,P16",75.0,113.33333333333333,1,34.70696898875758,P5->P7->P3->P1->P2->P10->P12->P15->P14->P18->P4->P17->P6->P20->P11->P13->P16->P9->P19->P8
