seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,task_sequence
0,NNF,20,196.0,426.66666666666663,278.88888888888886,208.53083125537935,0.0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,AStarOnly,20,196.0,426.66666666666663,278.88888888888886,208.53083125537935,0.0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,Proposed-Balanced,20,266.0,543.3333333333333,92.77777777777779,238.78823309827155,60.0,P3->P6->P9->P17->P4->P7->P14->P5->P11->P8->P18->P15->P19->P16->P1->P10->P20->P13->P2->P12
0,RH-Proposed-v1,20,236.0,493.3333333333333,211.66666666666666,224.50827863088932,20.0,P3->P8->P7->P9->P17->P4->P15->P19->P16->P20->P2->P13->P14->P5->P11->P6->P18->P12->P10->P1
0,RH-Proposed-v2,20,222.0,470.0,139.44444444444446,215.91721508557615,40.0,P15->P4->P17->P9->P20->P2->P13->P7->P14->P8->P11->P6->P3->P12->P10->P5->P18->P1->P19->P16
1,NNF,20,152.0,353.33333333333337,130.0,171.28220643360677,40.0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,AStarOnly,20,152.0,353.33333333333337,130.0,171.28220643360677,40.0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,Proposed-Balanced,20,250.0,516.6666666666667,172.5,240.42963959419117,60.0,P1->P6->P20->P17->P4->P7->P11->P14->P9->P8->P18->P19->P12->P10->P5->P2->P13->P16->P15->P3
1,RH-Proposed-v1,20,200.0,433.3333333333333,178.75,229.12434318927063,40.0,P1->P20->P6->P3->P17->P4->P10->P12->P11->P7->P5->P19->P18->P9->P14->P8->P2->P13->P16->P15
1,RH-Proposed-v2,20,237.0,495.0,146.66666666666669,191.6880993048337,40.0,P16->P1->P6->P20->P17->P4->P12->P7->P11->P5->P9->P14->P18->P19->P2->P13->P3->P15->P8->P10
2,NNF,20,148.0,346.6666666666667,142.83333333333331,149.18086604443027,80.0,P16->P20->P13->P5->P7->P3->P1->P2->P12->P10->P15->P8->P14->P18->P17->P4->P9->P6->P19->P11
2,AStarOnly,20,148.0,346.6666666666667,142.83333333333331,149.18086604443027,80.0,P16->P20->P13->P5->P7->P3->P1->P2->P12->P10->P15->P8->P14->P18->P17->P4->P9->P6->P19->P11
2,Proposed-Balanced,20,250.0,516.6666666666667,194.83333333333337,209.88199062428066,60.0,P5->P7->P3->P1->P15->P14->P10->P2->P11->P20->P4->P17->P6->P18->P9->P13->P16->P19->P8->P12
2,RH-Proposed-v1,20,286.0,576.6666666666666,164.5,211.77321830706876,100.0,P7->P5->P20->P4->P18->P6->P14->P10->P2->P15->P11->P1->P3->P13->P9->P17->P19->P16->P12->P8
2,RH-Proposed-v2,20,176.0,393.3333333333333,120.83333333333333,150.10729390153588,100.0,P20->P13->P5->P7->P11->P1->P2->P10->P15->P8->P14->P18->P17->P4->P6->P19->P9->P16->P3->P12
3,NNF,19,142.0,331.66666666666674,147.50000000000003,156.07796654292892,20.0,P10->P4->P12->P3->P9->P16->P14->P1->P8->P15->P19->P18->P17->P13->P5->P20->P2->P7->P6
3,AStarOnly,19,130.0,311.6666666666667,179.44444444444446,167.67391146664556,20.0,P10->P6->P7->P1->P14->P16->P8->P9->P3->P12->P19->P18->P17->P13->P4->P15->P2->P20->P5
3,Proposed-Balanced,19,194.0,418.3333333333333,150.0,175.20246310764043,40.0,P10->P9->P16->P14->P8->P1->P15->P2->P12->P19->P18->P5->P20->P3->P7->P6->P4->P17->P13
3,RH-Proposed-v1,19,202.0,431.6666666666667,166.66666666666669,185.51318685796141,40.0,P9->P8->P16->P14->P3->P15->P1->P12->P19->P18->P2->P5->P20->P7->P6->P10->P4->P17->P13
3,RH-Proposed-v2,19,180.0,395.0,113.33333333333333,159.68876530980125,80.0,P9->P16->P1->P14->P15->P12->P3->P8->P2->P20->P5->P17->P13->P18->P19->P4->P10->P6->P7
4,NNF,20,176.0,393.3333333333333,250.00000000000003,187.59529805887624,0.0,P10->P20->P9->P2->P13->P15->P18->P11->P17->P19->P16->P6->P5->P3->P8->P4->P1->P7->P12->P14
4,AStarOnly,20,180.0,400.00000000000006,216.6666666666667,199.48933476951882,0.0,P20->P10->P9->P2->P13->P15->P18->P19->P16->P6->P5->P3->P8->P12->P7->P1->P4->P11->P17->P14
4,Proposed-Balanced,20,253.0,521.6666666666667,261.6666666666667,244.4333538962034,0.0,P20->P11->P9->P17->P1->P12->P7->P5->P3->P6->P16->P8->P14->P19->P18->P15->P13->P2->P10->P4
4,RH-Proposed-v1,20,255.0,525.0,120.0,264.7110422006253,20.0,P20->P12->P5->P3->P6->P16->P8->P17->P11->P9->P10->P1->P7->P14->P19->P18->P15->P13->P2->P4
4,RH-Proposed-v2,20,206.0,443.33333333333337,123.33333333333331,203.07928145320986,0.0,P20->P10->P9->P11->P17->P3->P16->P6->P5->P8->P12->P7->P1->P4->P15->P13->P2->P18->P19->P14
5,NNF,20,188.0,413.3333333333334,219.72222222222226,222.81252117684366,40.0,P16->P13->P8->P1->P4->P7->P11->P17->P20->P19->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2
5,AStarOnly,20,207.0,445.0000000000001,194.72222222222226,210.95418778831691,40.0,P16->P13->P8->P1->P4->P7->P11->P17->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2->P19->P20
