experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
main,DRF-RH-Full vs RH-Proposed-v2,total_path_length,DRF-RH-Full,RH-Proposed-v2,30,222.26666666666668,220.26666666666668,2.0,15.946029664746192,0.6869704484697935,0.497558542755974,not_significant
main,DRF-RH-Full vs RH-Proposed-v2,total_inspection_time,DRF-RH-Full,RH-Proposed-v2,30,470.11111111111114,466.7777777777777,3.33333333333332,26.57671610791034,0.6869704484697902,0.4975585427559761,not_significant
main,DRF-RH-Full vs RH-Proposed-v2,high_priority_avg_response_time,DRF-RH-Full,RH-Proposed-v2,30,121.12737093153763,130.12396184062854,-8.996590909090909,13.478210122704272,-3.6560016031018185,0.0010090960839028561,significant
main,DRF-RH-Full vs RH-Proposed-v2,priority_weighted_completion_time,DRF-RH-Full,RH-Proposed-v2,30,184.20175785739517,183.0951220308595,1.1066358265356313,9.391339588304554,0.6454131483987425,0.5237335771244465,not_significant
main,DRF-RH-Full vs RH-Proposed-v2,high_priority_top5_rate,DRF-RH-Full,RH-Proposed-v2,30,59.333333333333336,53.333333333333336,6.0,9.321831993987981,3.525417908358019,0.001425827417902557,significant
main,DRF-RH-Full vs RH-Proposed-v2,abnormal_avg_response_time,DRF-RH-Full,RH-Proposed-v2,0,,,,,,,skipped
main,DRF-RH-Full vs RH-Proposed-v2,abnormal_priority_rate,DRF-RH-Full,RH-Proposed-v2,0,,,,,,,skipped
main,DRF-RH-Full vs Priority-Greedy,total_path_length,DRF-RH-Full,Priority-Greedy,30,222.26666666666668,297.2,-74.93333333333334,26.70778439194155,-15.367308786611336,1.7967494219641792e-15,significant
main,DRF-RH-Full vs Priority-Greedy,total_inspection_time,DRF-RH-Full,Priority-Greedy,30,470.11111111111114,595.0000000000001,-124.88888888888889,44.512973986569264,-15.36730878661133,1.796749421964192e-15,significant
main,DRF-RH-Full vs Priority-Greedy,high_priority_avg_response_time,DRF-RH-Full,Priority-Greedy,30,121.12737093153763,133.63700897867562,-12.50963804713805,44.6419606930623,-1.5348364718459169,0.13566313230474006,not_significant
main,DRF-RH-Full vs Priority-Greedy,priority_weighted_completion_time,DRF-RH-Full,Priority-Greedy,30,184.20175785739517,232.45578361212736,-48.25402575473216,21.551977599604054,-12.263291511952769,5.338017685364595e-13,significant
main,DRF-RH-Full vs Priority-Greedy,high_priority_top5_rate,DRF-RH-Full,Priority-Greedy,30,59.333333333333336,64.0,-4.666666666666667,17.167196733251497,-1.4889085512370992,0.14730686621020556,not_significant
main,DRF-RH-Full vs Priority-Greedy,abnormal_avg_response_time,DRF-RH-Full,Priority-Greedy,0,,,,,,,skipped
main,DRF-RH-Full vs Priority-Greedy,abnormal_priority_rate,DRF-RH-Full,Priority-Greedy,0,,,,,,,skipped
main,DRF-RH-Full vs Deadline-Greedy,total_path_length,DRF-RH-Full,Deadline-Greedy,30,222.26666666666668,268.7,-46.43333333333333,28.014384646578204,-9.078401830942825,5.644331945555223e-10,significant
main,DRF-RH-Full vs Deadline-Greedy,total_inspection_time,DRF-RH-Full,Deadline-Greedy,30,470.11111111111114,547.5,-77.38888888888889,46.69064107763037,-9.07840183094282,5.644331945555305e-10,significant
main,DRF-RH-Full vs Deadline-Greedy,high_priority_avg_response_time,DRF-RH-Full,Deadline-Greedy,30,121.12737093153763,138.2077441077441,-17.08037317620651,33.56742002209695,-2.7870195782267464,0.009286177318864127,significant
main,DRF-RH-Full vs Deadline-Greedy,priority_weighted_completion_time,DRF-RH-Full,Deadline-Greedy,30,184.20175785739517,220.44172922552505,-36.239971368129865,18.655781378366157,-10.639838342383309,1.5865497645518836e-11,significant
main,DRF-RH-Full vs Deadline-Greedy,high_priority_top5_rate,DRF-RH-Full,Deadline-Greedy,30,59.333333333333336,61.333333333333336,-2.0,15.177115259040727,-0.7217742609932383,0.47621308371163906,not_significant
main,DRF-RH-Full vs Deadline-Greedy,abnormal_avg_response_time,DRF-RH-Full,Deadline-Greedy,0,,,,,,,skipped
main,DRF-RH-Full vs Deadline-Greedy,abnormal_priority_rate,DRF-RH-Full,Deadline-Greedy,0,,,,,,,skipped
main,DRF-RH-Full vs TSP-2opt,total_path_length,DRF-RH-Full,TSP-2opt,30,222.26666666666668,153.1,69.16666666666667,22.20761493090918,17.059078013841905,1.1643862723184678e-16,significant
main,DRF-RH-Full vs TSP-2opt,total_inspection_time,DRF-RH-Full,TSP-2opt,30,470.11111111111114,354.83333333333326,115.27777777777777,37.01269155151532,17.05907801384189,1.1643862723185008e-16,significant
main,DRF-RH-Full vs TSP-2opt,high_priority_avg_response_time,DRF-RH-Full,TSP-2opt,30,121.12737093153763,188.34990179573515,-67.22253086419754,50.74410312556716,-7.255876891901753,5.450531064646245e-08,significant
main,DRF-RH-Full vs TSP-2opt,priority_weighted_completion_time,DRF-RH-Full,TSP-2opt,30,184.20175785739517,181.21664228541806,2.9851155719771003,24.894405622461356,0.6567801458399058,0.5165008538606879,not_significant
main,DRF-RH-Full vs TSP-2opt,high_priority_top5_rate,DRF-RH-Full,TSP-2opt,30,59.333333333333336,23.333333333333332,36.0,28.478667152074035,6.9237833234586486,1.3099994758942772e-07,significant
main,DRF-RH-Full vs TSP-2opt,abnormal_avg_response_time,DRF-RH-Full,TSP-2opt,0,,,,,,,skipped
main,DRF-RH-Full vs TSP-2opt,abnormal_priority_rate,DRF-RH-Full,TSP-2opt,0,,,,,,,skipped
main,DRF-RH-Light vs RH-Proposed-v2,total_path_length,DRF-RH-Light,RH-Proposed-v2,30,226.0,220.26666666666668,5.733333333333333,22.621218805137026,1.3881992935101404,0.17564920931519906,not_significant
main,DRF-RH-Light vs RH-Proposed-v2,total_inspection_time,DRF-RH-Light,RH-Proposed-v2,30,476.33333333333337,466.7777777777777,9.555555555555546,37.702031341895044,1.388199293510139,0.17564920931519945,not_significant
main,DRF-RH-Light vs RH-Proposed-v2,high_priority_avg_response_time,DRF-RH-Light,RH-Proposed-v2,30,126.02720258136925,130.12396184062854,-4.09675925925926,18.51547390161805,-1.2118984752360888,0.23533332444980337,not_significant
main,DRF-RH-Light vs RH-Proposed-v2,priority_weighted_completion_time,DRF-RH-Light,RH-Proposed-v2,30,184.75058164981505,183.0951220308595,1.655459618955525,10.822969373881723,0.8377854034485204,0.4090031618619536,not_significant
main,DRF-RH-Light vs RH-Proposed-v2,high_priority_top5_rate,DRF-RH-Light,RH-Proposed-v2,30,56.0,53.333333333333336,2.6666666666666665,8.683449709106092,1.6820428926406503,0.10329970911247391,not_significant
main,DRF-RH-Light vs RH-Proposed-v2,abnormal_avg_response_time,DRF-RH-Light,RH-Proposed-v2,0,,,,,,,skipped
main,DRF-RH-Light vs RH-Proposed-v2,abnormal_priority_rate,DRF-RH-Light,RH-Proposed-v2,0,,,,,,,skipped
