map_type,seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,task_sequence
corridor,0,AStarOnly,20,180.0,400.0,175.33333333333331,158.95946909714928,20.0,22.02223800122738,P17->P18->P19->P16->P15->P8->P5->P20->P1->P6->P3->P13->P7->P11->P4->P12->P14->P10->P2->P9
corridor,0,Proposed-Balanced,20,272.0,553.3333333333334,221.0,238.25556354391082,40.0,21.71579498099163,P3->P7->P11->P2->P1->P18->P17->P15->P16->P8->P19->P6->P20->P10->P4->P14->P12->P13->P5->P9
corridor,0,RH-Proposed-v2,20,244.0,506.6666666666667,111.66666666666667,175.03380374131422,40.0,443.11991397989914,P19->P16->P15->P18->P6->P3->P7->P4->P11->P1->P2->P20->P17->P8->P14->P12->P13->P10->P5->P9
corridor,0,Priority-Greedy,20,316.0,626.6666666666666,161.66666666666666,259.62877375684815,60.0,22.161144006531686,P2->P3->P4->P11->P14->P6->P1->P18->P16->P15->P19->P17->P8->P7->P12->P20->P10->P9->P5->P13
corridor,0,TSP-2opt,20,172.0,386.66666666666674,229.33333333333334,193.35962416627777,20.0,28.99309096392244,P18->P17->P19->P16->P15->P8->P5->P20->P10->P2->P14->P12->P4->P11->P7->P13->P3->P1->P6->P9
corridor,0,DRF-RH-Full,20,220.0,466.6666666666667,113.66666666666667,171.66965567349024,40.0,68.47769598243758,P19->P16->P15->P18->P6->P1->P3->P7->P4->P11->P2->P20->P17->P8->P9->P5->P10->P13->P12->P14
corridor,0,DRF-RH-Light,20,200.0,433.33333333333337,139.66666666666669,171.26416412124595,20.0,41.34352703113109,P18->P19->P16->P8->P15->P20->P6->P1->P3->P7->P4->P11->P13->P2->P10->P5->P17->P9->P12->P14
corridor,1,AStarOnly,20,178.0,396.66666666666663,143.0952380952381,157.5848011774365,60.0,19.719238043762743,P3->P10->P16->P12->P2->P13->P8->P11->P19->P9->P15->P5->P6->P4->P1->P14->P20->P7->P17->P18
corridor,1,Proposed-Balanced,20,276.0,560.0,182.14285714285717,208.6169556508143,60.0,19.64233204489574,P12->P10->P2->P13->P19->P11->P8->P17->P7->P5->P6->P20->P14->P4->P16->P18->P3->P9->P15->P1
corridor,1,RH-Proposed-v2,20,224.0,473.33333333333337,75.0,157.09011748200624,100.0,418.0010879645124,P3->P10->P12->P8->P19->P11->P2->P7->P17->P18->P16->P4->P6->P5->P14->P20->P13->P15->P9->P1
corridor,1,Priority-Greedy,20,282.0,570.0000000000001,121.9047619047619,223.15868753464096,80.0,19.95309500489384,P12->P10->P17->P19->P11->P8->P2->P3->P18->P16->P20->P4->P6->P5->P14->P13->P15->P9->P7->P1
corridor,1,TSP-2opt,20,164.0,373.33333333333337,165.95238095238096,173.93508663206896,80.0,29.20372801600024,P3->P10->P16->P12->P17->P7->P2->P13->P20->P14->P5->P6->P4->P1->P11->P15->P19->P9->P8->P18
corridor,1,DRF-RH-Full,20,226.0,476.66666666666674,74.76190476190477,159.4895468670928,100.0,64.7839389857836,P3->P10->P12->P8->P19->P11->P2->P17->P7->P18->P16->P4->P6->P5->P14->P20->P13->P15->P9->P1
corridor,1,DRF-RH-Light,20,228.0,480.0,101.19047619047619,172.92615775024433,60.0,39.67261203797534,P10->P12->P8->P2->P11->P19->P9->P7->P17->P3->P18->P16->P4->P6->P5->P14->P20->P13->P15->P1
corridor,2,AStarOnly,20,191.0,418.33333333333337,207.33333333333334,207.3291999617252,20.0,24.820238002575934,P18->P20->P16->P6->P12->P15->P19->P17->P7->P10->P9->P8->P2->P14->P3->P13->P1->P5->P4->P11
corridor,2,Proposed-Balanced,20,306.0,610.0,260.6666666666667,298.0904022987738,40.0,23.808913014363497,P6->P15->P12->P13->P5->P19->P17->P9->P7->P8->P10->P2->P3->P14->P16->P4->P11->P18->P20->P1
corridor,2,RH-Proposed-v2,20,269.0,548.3333333333334,103.0,225.02582530266793,60.0,546.5097829583101,P6->P12->P15->P19->P17->P7->P11->P4->P18->P16->P13->P5->P1->P2->P14->P8->P9->P10->P3->P20
corridor,2,Priority-Greedy,20,296.0,593.3333333333333,101.0,249.5605292497274,100.0,23.984786006622016,P15->P19->P6->P11->P4->P18->P13->P5->P12->P3->P14->P2->P7->P8->P17->P10->P9->P16->P20->P1
corridor,2,TSP-2opt,20,187.0,411.66666666666663,258.3333333333333,211.55737129681683,20.0,36.10406699590385,P18->P20->P16->P6->P5->P1->P13->P12->P15->P14->P2->P8->P9->P10->P7->P17->P19->P3->P11->P4
corridor,2,DRF-RH-Full,20,269.0,548.3333333333334,103.0,225.02582530266793,60.0,74.83047305140644,P6->P12->P15->P19->P17->P7->P11->P4->P18->P16->P13->P5->P1->P2->P14->P8->P9->P10->P3->P20
corridor,2,DRF-RH-Light,20,301.0,601.6666666666666,114.33333333333334,227.39210044045598,60.0,50.08585401810706,P6->P12->P15->P19->P7->P17->P8->P11->P4->P18->P16->P13->P5->P1->P2->P14->P3->P10->P9->P20
corridor,3,AStarOnly,20,155.0,358.3333333333334,167.7777777777778,162.45311393051222,20.0,19.951110996771604,P16->P6->P5->P19->P2->P12->P17->P13->P9->P11->P15->P18->P8->P20->P4->P7->P10->P14->P1->P3
