map_type,method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
bottleneck,AStarOnly,20.0,0.0,239.0,26.915071105824317,498.3333333333333,44.85845184304054,205.06898148148147,73.39475342237381,226.21203648096957,26.12898956652792,29.0,22.918620331397282,78.64543709147256,10.73423443729889
bottleneck,DRF-RH-Full,20.0,0.0,301.8,27.26980207598064,603.0,45.4496701266344,148.09444444444446,62.38097008583549,233.04584758900458,26.588511137945105,53.0,22.734161635370633,160.90288080449682,17.984961380944014
bottleneck,DRF-RH-Light,20.0,0.0,303.45,35.56532166680287,605.75,59.275536111338106,161.10046296296298,79.37781659193651,232.25421288246486,35.078588679386364,54.0,29.091507170885528,128.2584131899057,15.035100877552612
bottleneck,Priority-Greedy,20.0,0.0,411.4,37.35237609577201,785.6666666666666,62.25396015962,170.42731481481482,50.77782869896839,300.59358172576594,33.410271660885556,60.0,27.529888064467414,77.5667878537206,9.928044073612261
bottleneck,Proposed-Balanced,20.0,0.0,337.1,42.66996971863788,661.8333333333334,71.1166161977298,193.6078703703704,73.59592426889695,265.17314836192054,36.78547051473869,50.0,27.909628596974425,78.3310255559627,10.87781661241697
bottleneck,RH-Proposed-v2,20.0,0.0,312.5,31.561969120079343,620.8333333333334,52.603281866798916,150.8625,67.50272386088378,233.84955032646357,27.370428895165336,55.0,24.170447375168493,1656.6545834008139,248.2766293559209
bottleneck,TSP-2opt,20.0,0.0,211.2,19.171250405366447,452.0,31.952084008944063,201.64351851851853,65.91343340061151,222.75035165025122,26.82542281860523,33.0,27.739388677664227,89.3192933028331,10.628794498879396
corridor,AStarOnly,20.0,0.0,162.25,17.210385481477534,370.4166666666667,28.683975802462555,164.38647486772487,43.3580329428996,165.939992157174,22.88937818776674,25.0,17.013926184468012,20.716184747288935,2.859557961276603
corridor,DRF-RH-Full,20.0,0.0,217.1,25.00084209108081,461.83333333333337,41.66807015180137,104.82351190476192,31.428278762380394,171.2923708826349,21.43472556811389,55.0,25.0263019536184,65.89622670726385,4.15425659015282
corridor,DRF-RH-Light,20.0,0.0,220.5,27.561414676089623,467.5,45.93569112681603,110.06392195767197,31.104089975060702,171.8710557795636,20.22814281695414,52.0,25.46411303445653,42.20642060681712,3.2839949865998954
corridor,Priority-Greedy,20.0,0.0,278.95,41.4112557798379,564.9166666666666,69.01875963306317,133.43991402116401,30.27452773774417,221.0245910498934,29.04360511489315,63.0,25.3605578553951,20.49038230034057,2.420401488316934
corridor,Proposed-Balanced,20.0,0.0,261.25,33.19301606949079,535.4166666666666,55.321693449151304,194.47496693121695,45.581851570491864,225.99123889629976,24.546682630323186,35.0,14.327007988227578,20.39935215434525,2.374512126317066
corridor,RH-Proposed-v2,20.0,0.0,226.85,21.738336255516305,478.08333333333337,36.23056042586054,112.42939814814815,26.2204350662502,177.45450589266596,18.633168470795628,53.0,26.177531547010634,439.25128154223785,48.09854663658571
corridor,TSP-2opt,20.0,0.0,147.3,20.767129898243674,345.5,34.611883163739456,171.3943783068783,35.43437795018892,173.82135543533093,21.115929314551398,25.0,20.39091645032686,27.802020800299942,3.4654825828390146
room_corridor,AStarOnly,20.0,0.0,233.75,25.947061490658243,489.58333333333337,43.245102484430404,228.8396164021164,50.49098743587974,239.19667178821206,23.775861538099477,29.0,21.001253095445218,43.19421369291376,6.766613145128442
room_corridor,DRF-RH-Full,20.0,0.0,317.9,33.59495576171487,629.8333333333334,55.99159293619144,153.88204365079366,49.32653527400643,238.78729447370696,27.738972176356953,58.0,23.30574810506717,103.5211774520576,13.020654146563604
room_corridor,DRF-RH-Light,20.0,0.0,302.05,29.826648275802313,603.4166666666667,49.71108045967051,161.22695105820108,48.67762681356621,234.4360345739103,25.594398663411752,57.0,21.788456625132106,76.28376004868187,11.32853401527455
room_corridor,Priority-Greedy,20.0,0.0,411.75,47.47395407788858,786.25,79.12325679648097,164.63611111111112,59.13613473819436,293.09447143674845,43.63208826307719,64.0,22.1002500581233,43.400525898323394,6.146474373820542
room_corridor,Proposed-Balanced,20.0,0.0,290.55,38.55477989343966,584.25,64.25796648906609,246.81111111111113,62.05987893759693,269.0836157807898,33.15657577895787,39.0,23.81949665825522,43.06330474792048,6.27065980922255
room_corridor,RH-Proposed-v2,20.0,0.0,306.55,28.266541500881438,610.9166666666666,47.110902501469056,155.65601851851852,52.496375783383606,236.74040332713088,24.565846961443164,56.0,23.929721664644752,929.3063491990324,126.46774663524269
room_corridor,TSP-2opt,20.0,0.0,221.55,22.18457263861296,469.25,36.97428773102159,232.26372354497354,56.91733406560857,241.37948096655654,24.50351461863861,25.0,22.360679774997898,50.973169403732754,9.215089839840099
