seed,method,completed_task_num,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,abnormal_avg_response_time,abnormal_priority_rate,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
0,AStarOnly,20,190.0,171.59795509632042,340.80000000000007,440.80000000000007,200.14000000000004,0.0,0.0,126.87081505490315,100.0,0.9031471320858969,0,0,0,0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P4->P10->P15->P1->P19->P16->P5->P6
0,Proposed-Balanced,20,207.0,179.72794680024452,368.6000000000001,468.6000000000001,157.44,0.0,0.0,159.50593683893877,100.0,0.8682509507258189,0,0,0,0,P3->P12->P15->P1->P4->P9->P17->P7->P13->P20->P2->P19->P16->P10->P5->P11->P6->P18->P8->P14
0,RH-v2-Light,20,221.0,191.97654939681522,392.40000000000003,492.3999999999999,132.35999999999999,0.0,0.0,171.65538609753696,100.0,0.8686721692163585,0,0,0,0,P3->P12->P4->P9->P17->P7->P13->P20->P2->P19->P16->P15->P1->P5->P6->P11->P8->P14->P18->P10
0,TSP-2opt,20,196.0,174.96220051165824,344.20000000000005,444.20000000000005,202.92000000000002,0.0,0.0,122.88909443628967,100.0,0.892664288324787,0,0,0,0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,Priority-Greedy,20,323.0,291.36671126005376,580.4000000000001,680.4,167.54000000000002,0.0,0.0,223.33053081887425,100.0,0.9020641215481541,0,0,0,0,P4->P9->P7->P17->P20->P13->P6->P15->P1->P3->P12->P5->P14->P8->P11->P19->P16->P2->P10->P18
1,AStarOnly,20,150.0,133.73820243644568,269.2,369.19999999999993,139.575,0.0,0.0,105.30581167600515,100.0,0.8915880162429711,0,0,0,0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P9->P14->P19->P18
1,Proposed-Balanced,20,225.0,204.074154552695,403.4,503.40000000000003,159.175,0.0,0.0,144.2423830603042,100.0,0.9069962424564223,0,0,0,0,P16->P1->P6->P20->P17->P4->P12->P7->P11->P5->P19->P14->P18->P9->P8->P2->P13->P15->P3->P10
1,RH-v2-Light,20,237.0,217.49615704078468,420.00000000000006,520.0,99.375,0.0,0.0,129.53964832607957,100.0,0.9177053039695556,0,0,0,0,P16->P1->P13->P2->P7->P4->P17->P20->P6->P3->P15->P11->P5->P19->P14->P18->P9->P12->P10->P8
1,TSP-2opt,20,152.0,135.32537105555372,274.99999999999994,374.9999999999999,139.575,0.0,0.0,109.87227643532106,100.0,0.8902984937865376,0,0,0,0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,Priority-Greedy,20,297.0,266.10659945124667,521.5000000000001,621.5,132.70000000000002,0.0,0.0,184.49146826035144,100.0,0.8959818163341638,0,0,0,0,P1->P17->P4->P7->P11->P14->P19->P12->P13->P16->P6->P20->P3->P2->P15->P5->P18->P9->P8->P10
