run_id,method,seed,abnormal_task_ids,task_sequence,replanning_count,abnormal_priority_rate,abnormal_avg_response_time,high_risk_avg_response_time,total_path_length,total_inspection_time,completed_task_num
1,FS,5000,P9|P2|P1|P15,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20,0,0.0,371.66666666666674,520.0,465.0,875.0000000000001,20
2,NNF,5000,P9|P2|P1|P15,P2 -> P6 -> P3 -> P16 -> P20 -> P5 -> P18 -> P8 -> P1 -> P13 -> P17 -> P14 -> P10 -> P15 -> P11 -> P19 -> P9 -> P12 -> P4 -> P7,0,0.0,208.3333333333333,225.33333333333331,175.0,391.66666666666663,20
3,AStarOnly,5000,P9|P2|P1|P15,P2 -> P6 -> P3 -> P16 -> P20 -> P5 -> P18 -> P8 -> P9 -> P12 -> P4 -> P7 -> P1 -> P13 -> P17 -> P14 -> P10 -> P15 -> P11 -> P19,0,0.0,195.0,232.0,158.0,363.33333333333337,20
4,Proposed,5000,P9|P2|P1|P15,P19 -> P11 -> P14 -> P9 -> P12 -> P4 -> P18 -> P1 -> P13 -> P15 -> P10 -> P2 -> P16 -> P3 -> P5 -> P20 -> P6 -> P8 -> P7 -> P17,1,25.0,137.91666666666669,233.66666666666666,276.0,560.0,20
5,FS,5001,P8|P16|P7|P11,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20,0,25.0,310.00000000000006,300.33333333333337,442.0,836.6666666666667,20
6,NNF,5001,P8|P16|P7|P11,P14 -> P3 -> P12 -> P13 -> P2 -> P4 -> P16 -> P20 -> P19 -> P6 -> P17 -> P7 -> P9 -> P11 -> P15 -> P10 -> P18 -> P8 -> P1 -> P5,0,25.0,168.75000000000003,185.66666666666669,156.0,360.00000000000006,20
7,AStarOnly,5001,P8|P16|P7|P11,P14 -> P3 -> P13 -> P2 -> P4 -> P12 -> P16 -> P20 -> P5 -> P8 -> P18 -> P1 -> P10 -> P6 -> P19 -> P17 -> P11 -> P9 -> P7 -> P15,0,25.0,190.41666666666669,158.00000000000003,162.0,370.0,20
8,Proposed,5001,P8|P16|P7|P11,P3 -> P14 -> P4 -> P8 -> P11 -> P7 -> P9 -> P10 -> P16 -> P12 -> P20 -> P2 -> P6 -> P19 -> P17 -> P15 -> P18 -> P5 -> P1 -> P13,1,75.0,110.0,260.66666666666663,295.0,591.6666666666666,20
9,FS,5002,P13|P11|P8|P12,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20,0,0.0,261.66666666666663,378.8888888888889,387.0,744.9999999999999,20
10,NNF,5002,P13|P11|P8|P12,P6 -> P10 -> P7 -> P5 -> P8 -> P13 -> P15 -> P4 -> P2 -> P11 -> P19 -> P18 -> P12 -> P20 -> P1 -> P3 -> P17 -> P16 -> P14 -> P9,0,50.0,72.49999999999999,142.5,178.0,396.66666666666674,20
