run_id,seed,map_size,obstacle_ratio,task_num,method,total_path_length,total_inspection_time,high_priority_avg_response_time,completed_task_num,task_sequence,algorithm_runtime_ms
1,1100,30x30,0.1,10,FS,252.0,470.0,438.33333333333337,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,2.341
2,1100,30x30,0.1,10,NNF,127.0,261.6666666666667,157.5,10,P1 -> P4 -> P3 -> P7 -> P9 -> P5 -> P2 -> P6 -> P10 -> P8,15.683
3,1100,30x30,0.1,10,AStarOnly,129.0,265.0,175.0,10,P1 -> P4 -> P3 -> P6 -> P7 -> P9 -> P5 -> P2 -> P10 -> P8,15.021
4,1100,30x30,0.1,10,Proposed,175.0,341.6666666666667,172.5,10,P1 -> P4 -> P3 -> P6 -> P7 -> P9 -> P2 -> P10 -> P5 -> P8,13.328
5,1101,30x30,0.1,10,FS,158.0,313.3333333333333,198.33333333333331,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,0.899
6,1101,30x30,0.1,10,NNF,106.0,226.66666666666669,35.833333333333336,10,P4 -> P7 -> P3 -> P8 -> P5 -> P1 -> P9 -> P10 -> P6 -> P2,5.689
7,1101,30x30,0.1,10,AStarOnly,106.0,226.66666666666669,35.833333333333336,10,P4 -> P7 -> P3 -> P8 -> P5 -> P1 -> P9 -> P10 -> P6 -> P2,5.473
8,1101,30x30,0.1,10,Proposed,122.0,253.33333333333334,41.66666666666667,10,P4 -> P1 -> P8 -> P5 -> P6 -> P7 -> P2 -> P3 -> P9 -> P10,5.544
9,1102,30x30,0.1,10,FS,133.0,271.6666666666667,38.333333333333336,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,0.779
10,1102,30x30,0.1,10,NNF,109.0,231.66666666666669,67.5,10,P1 -> P8 -> P9 -> P5 -> P7 -> P4 -> P2 -> P3 -> P6 -> P10,9.179
11,1102,30x30,0.1,10,AStarOnly,109.0,231.66666666666669,67.5,10,P1 -> P8 -> P9 -> P5 -> P7 -> P4 -> P2 -> P3 -> P6 -> P10,8.972
12,1102,30x30,0.1,10,Proposed,97.0,211.66666666666669,47.50000000000001,10,P1 -> P8 -> P5 -> P7 -> P2 -> P3 -> P4 -> P6 -> P9 -> P10,9.672
13,1103,30x30,0.1,10,FS,224.0,423.3333333333333,0.0,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.403
14,1103,30x30,0.1,10,NNF,120.0,250.0,0.0,10,P6 -> P8 -> P4 -> P5 -> P1 -> P9 -> P2 -> P7 -> P3 -> P10,9.41
15,1103,30x30,0.1,10,AStarOnly,120.0,250.0,0.0,10,P6 -> P8 -> P4 -> P5 -> P1 -> P9 -> P2 -> P7 -> P3 -> P10,9.195
16,1103,30x30,0.1,10,Proposed,141.0,285.0,0.0,10,P6 -> P7 -> P9 -> P2 -> P1 -> P5 -> P4 -> P10 -> P8 -> P3,9.365
17,1104,30x30,0.1,10,FS,207.0,395.0,192.7777777777778,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.086
18,1104,30x30,0.1,10,NNF,90.0,199.99999999999997,92.77777777777777,10,P9 -> P10 -> P1 -> P7 -> P6 -> P3 -> P8 -> P2 -> P5 -> P4,8.162
19,1104,30x30,0.1,10,AStarOnly,109.0,231.66666666666669,72.22222222222223,10,P9 -> P5 -> P4 -> P3 -> P6 -> P7 -> P1 -> P10 -> P8 -> P2,12.048
20,1104,30x30,0.1,10,Proposed,129.0,265.0,68.33333333333333,10,P9 -> P4 -> P5 -> P8 -> P1 -> P7 -> P6 -> P3 -> P2 -> P10,12.147
21,1105,30x30,0.1,10,FS,207.0,395.00000000000006,126.11111111111113,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.368
22,1105,30x30,0.1,10,NNF,97.0,211.66666666666669,128.8888888888889,10,P10 -> P8 -> P7 -> P1 -> P4 -> P5 -> P6 -> P3 -> P2 -> P9,6.312
23,1105,30x30,0.1,10,AStarOnly,97.0,211.66666666666669,128.8888888888889,10,P10 -> P8 -> P7 -> P1 -> P4 -> P5 -> P6 -> P3 -> P2 -> P9,6.177
24,1105,30x30,0.1,10,Proposed,137.0,278.33333333333337,90.0,10,P2 -> P3 -> P7 -> P1 -> P4 -> P5 -> P6 -> P9 -> P10 -> P8,7.411
25,1106,30x30,0.1,10,FS,240.0,450.00000000000006,305.0,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.537
26,1106,30x30,0.1,10,NNF,121.0,251.6666666666667,76.66666666666667,10,P2 -> P5 -> P10 -> P1 -> P4 -> P3 -> P8 -> P6 -> P9 -> P7,8.462
27,1106,30x30,0.1,10,AStarOnly,121.0,251.6666666666667,76.66666666666667,10,P2 -> P5 -> P10 -> P1 -> P4 -> P3 -> P8 -> P6 -> P9 -> P7,8.274
28,1106,30x30,0.1,10,Proposed,156.0,310.0,80.0,10,P4 -> P1 -> P10 -> P7 -> P3 -> P8 -> P6 -> P9 -> P5 -> P2,6.284
29,1107,30x30,0.1,10,FS,222.0,420.00000000000006,173.8888888888889,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.062
30,1107,30x30,0.1,10,NNF,112.0,236.66666666666669,118.88888888888887,10,P5 -> P2 -> P10 -> P9 -> P1 -> P8 -> P4 -> P7 -> P3 -> P6,12.158
31,1107,30x30,0.1,10,AStarOnly,112.0,236.66666666666669,118.88888888888887,10,P5 -> P2 -> P10 -> P9 -> P1 -> P8 -> P4 -> P7 -> P3 -> P6,11.837
32,1107,30x30,0.1,10,Proposed,132.0,270.0,115.0,10,P5 -> P2 -> P10 -> P6 -> P3 -> P4 -> P7 -> P8 -> P9 -> P1,9.741
33,1108,30x30,0.1,10,FS,144.0,290.00000000000006,185.83333333333337,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,0.882
34,1108,30x30,0.1,10,NNF,83.0,188.33333333333334,117.77777777777779,10,P5 -> P4 -> P6 -> P7 -> P10 -> P2 -> P9 -> P8 -> P3 -> P1,4.564
35,1108,30x30,0.1,10,AStarOnly,83.0,188.33333333333334,117.77777777777779,10,P5 -> P4 -> P6 -> P7 -> P10 -> P2 -> P9 -> P8 -> P3 -> P1,4.647
36,1108,30x30,0.1,10,Proposed,107.0,228.33333333333334,87.5,10,P6 -> P7 -> P4 -> P9 -> P8 -> P2 -> P1 -> P10 -> P3 -> P5,4.578
37,1109,30x30,0.1,10,FS,156.0,310.0,202.08333333333331,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.246
38,1109,30x30,0.1,10,NNF,102.0,220.0,159.16666666666669,10,P5 -> P6 -> P3 -> P4 -> P8 -> P2 -> P10 -> P9 -> P7 -> P1,4.746
39,1109,30x30,0.1,10,AStarOnly,102.0,220.0,159.16666666666669,10,P5 -> P6 -> P3 -> P4 -> P8 -> P2 -> P10 -> P9 -> P7 -> P1,4.885
40,1109,30x30,0.1,10,Proposed,103.0,221.66666666666669,109.58333333333334,10,P5 -> P6 -> P7 -> P1 -> P8 -> P4 -> P10 -> P2 -> P9 -> P3,6.527
41,1110,30x30,0.1,10,FS,203.0,388.33333333333337,187.5,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.143
42,1110,30x30,0.1,10,NNF,98.0,213.33333333333331,130.0,10,P1 -> P2 -> P3 -> P5 -> P6 -> P8 -> P4 -> P10 -> P7 -> P9,8.461
43,1110,30x30,0.1,10,AStarOnly,95.0,208.33333333333331,78.33333333333334,10,P1 -> P2 -> P3 -> P5 -> P7 -> P9 -> P10 -> P4 -> P6 -> P8,9.943
44,1110,30x30,0.1,10,Proposed,191.0,368.33333333333337,55.833333333333336,10,P5 -> P3 -> P7 -> P9 -> P2 -> P10 -> P6 -> P4 -> P8 -> P1,8.675
45,1111,30x30,0.1,10,FS,185.0,358.3333333333334,176.11111111111117,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.03
46,1111,30x30,0.1,10,NNF,76.0,176.66666666666666,139.44444444444446,10,P4 -> P5 -> P10 -> P7 -> P3 -> P6 -> P8 -> P1 -> P9 -> P2,7.534
47,1111,30x30,0.1,10,AStarOnly,80.0,183.33333333333331,149.44444444444443,10,P4 -> P5 -> P10 -> P7 -> P8 -> P1 -> P9 -> P6 -> P2 -> P3,7.82
48,1111,30x30,0.1,10,Proposed,119.0,248.33333333333331,120.55555555555556,10,P7 -> P5 -> P3 -> P2 -> P8 -> P1 -> P9 -> P6 -> P10 -> P4,6.589
49,1112,30x30,0.1,10,FS,185.0,358.3333333333333,251.66666666666663,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.124
50,1112,30x30,0.1,10,NNF,82.0,186.66666666666669,106.66666666666669,10,P2 -> P1 -> P7 -> P9 -> P4 -> P3 -> P6 -> P8 -> P10 -> P5,8.937
51,1112,30x30,0.1,10,AStarOnly,82.0,186.66666666666669,106.66666666666669,10,P2 -> P1 -> P7 -> P9 -> P4 -> P3 -> P6 -> P8 -> P10 -> P5,8.939
52,1112,30x30,0.1,10,Proposed,121.0,251.66666666666669,75.0,10,P2 -> P9 -> P6 -> P8 -> P10 -> P5 -> P3 -> P4 -> P7 -> P1,7.23
53,1113,30x30,0.1,10,FS,176.0,343.3333333333333,73.33333333333334,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.182
54,1113,30x30,0.1,10,NNF,128.0,263.33333333333337,128.33333333333334,10,P10 -> P9 -> P3 -> P7 -> P5 -> P1 -> P8 -> P6 -> P2 -> P4,6.615
